ID;telefonica;presencial;Data Início;Data Final;dias_ate_eleicao;is_15dias;is_30dias;is_60dias;Dias_Campo;Final_de_Semana;is_vespera;is_ultima_semana;Tam._Amostra;Valor(R$);conglomerados_3estagios;conglomerados_2estagios;PPT;RDD;Auditoria=20;Auditoria=30;Estatistico_responsavel
BR-01979/2022;0;1;23/08/2022;29/08/2022;34;0;0;1;7;1;0;0;2000;231156,29;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-03492/2022;0;1;26/08/2022;30/08/2022;33;0;0;1;5;1;0;0;2020;50000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-00433/2022;0;1;30/08/2022;09/01/2022;31;0;0;1;3;0;0;0;5734;473780;1;0;1;0;0;1;Renata Nunes Cesar
BR-00807/2022;0;1;09/01/2022;09/04/2022;28;0;1;1;4;1;0;0;2000;125896,48;1;0;1;0;1;0;Margarida Maria de Mendonca
BR-00922/2022;0;1;30/08/2022;09/05/2022;27;0;1;1;7;1;0;0;2512;290332,3;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-01390/2022;0;1;09/06/2022;09/12/2022;20;0;1;1;7;1;0;0;2512;290332,3;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-03420/2022;0;1;09/10/2022;13/09/2022;19;0;1;1;4;1;0;0;2000;125896,48;1;0;1;0;1;0;Margarida Maria de Mendonca
BR-00073/2022;0;1;13/09/2022;19/09/2022;13;1;1;1;7;1;0;0;3008;347659,06;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-00999/2022;0;1;25/09/2022;10/01/2022;1;1;1;1;7;1;1;1;3008;347659,06;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-00245/2022;0;1;30/09/2022;10/01/2022;1;1;1;1;2;1;1;1;12800;617972;1;0;1;0;0;1;Renata Nunes Cesar
BR-01763/2022;0;1;30/06/2022;07/03/2022;91;0;0;0;4;1;0;0;2000;268742,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-02944/2022;0;1;28/09/2022;30/09/2022;2;1;1;1;3;0;1;1;2002;168000;1;0;0;0;1;0;Marcelo Costa Souza
BR-01603/2022;0;1;05/05/2022;05/08/2022;147;0;0;0;4;1;0;0;2000;268742,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-01631/2022;0;1;04/08/2022;04/11/2022;174;0;0;0;4;1;0;0;2000;120000;1;0;1;0;0;0;Felipe Abrahão Coelho Fantauzzi
BR-01640/2022;0;1;20/09/2022;26/09/2022;6;1;1;1;7;1;0;1;3008;347659,06;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-03138/2022;0;1;19/08/2022;23/08/2022;40;0;0;1;5;1;0;0;2020;50000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-03552/2022;0;1;06/02/2022;06/05/2022;119;0;0;0;4;1;0;0;2000;268742,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-03928/2022;0;1;22/09/2022;26/09/2022;6;1;1;1;5;1;0;1;2020;104000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-03980/2022;0;1;08/09/2022;15/08/2022;48;0;0;1;7;1;0;0;2000;231156,29;1;0;1;0;1;0;Marcia Cavallari Nunes
BR-04099/2022;0;1;13/09/2022;15/09/2022;17;0;1;1;3;0;0;0;5926;473780;0;1;1;0;0;1;Renata Nunes César
BR-04180/2022;0;1;20/09/2022;22/09/2022;10;1;1;1;3;0;0;0;6754;473780;0;1;1;0;0;1;Renata Nunes César
BR-04371/2022;0;1;24/09/2022;27/09/2022;5;1;1;1;4;1;0;1;2000;125896,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-04459/2022;0;1;17/09/2022;20/09/2022;12;1;1;1;4;1;0;0;2000;125896,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-04618/2022;0;1;26/05/2022;30/05/2022;125;0;0;0;5;1;0;0;2020;100000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-05166/2022;0;1;25/05/2022;26/05/2022;129;0;0;0;2;0;0;0;2556;473780;0;1;1;0;0;1;Renata Nunes César
BR-05251/2022;0;1;28/07/2022;08/01/2022;62;0;0;0;5;1;0;0;2020;100000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-05388/2022;0;1;09/08/2022;09/12/2022;20;0;1;1;5;1;0;0;2020;50000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-06682/2022;0;1;03/03/2022;03/08/2022;208;0;0;0;6;1;0;0;2020;100000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-06693/2022;0;1;03/10/2022;13/03/2022;203;0;0;0;4;1;0;0;2000;268742,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-06984/2022;0;1;09/12/2022;14/09/2022;18;0;1;1;3;0;0;0;2002;168000;1;0;0;0;1;0;Marcelo Costa Souza
BR-06580/2022;0;1;19/09/2022;23/09/2022;9;1;1;1;5;0;0;0;11000;119000;1;0;1;0;1;0;Guilherme Alvarenga Laia
BR-05980/2022;0;1;24/09/2022;29/09/2022;3;1;1;1;6;1;0;0;51169;119000;1;0;1;0;1;0;Guilherme Alvarenga Laia
BR-08065/2022;0;1;31/03/2022;04/05/2022;180;0;0;0;6;1;0;0;2020;100000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-07451/2022;0;1;23/05/2022;24/05/2022;131;0;0;0;2;0;0;0;3000;20000;0;1;0;0;0;0;Isabela Zara Cremoneze
BR-07422/2022;0;1;09/08/2022;09/09/2022;23;0;1;1;2;0;0;0;2676;473780;1;0;1;0;0;1;Renata Nunes César
BR-09055/2022;0;1;27/01/2022;02/01/2022;243;0;0;0;6;1;0;0;2020;126000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-08857/2022;0;1;02/03/2022;02/06/2022;238;0;0;0;4;1;0;0;2000;268742,48;1;0;1;0;1;0;Margarida Maria de Mendonça
BR-08967/2022;0;1;22/03/2022;24/03/2022;192;0;0;0;3;0;0;0;2556;473780;1;0;1;0;0;1;Renata Nunes César
BR-09088/2022;0;1;22/06/2022;23/06/2022;101;0;0;0;2;0;0;0;2556;473780;1;0;1;0;0;1;Renata Nunes César
BR-09751/2022;0;1;16/02/2022;19/02/2022;225;0;0;0;4;1;0;0;2002;197400;1;0;1;0;1;0;Marcelo Costa Souza
BR-09280/2022;0;1;28/04/2022;05/03/2022;152;0;0;0;6;1;0;0;2020;120000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-09408/2022;0;1;30/06/2022;07/05/2022;89;0;0;0;6;1;0;0;2020;100000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-09404/2022;0;1;16/08/2022;18/08/2022;45;0;0;1;3;0;0;0;5744;473780;1;0;1;0;0;1;Renata Nunes Cesar
BR-09446/2022;0;1;31/08/2022;09/05/2022;27;0;1;1;6;1;0;0;2020;50000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-09417/2022;0;1;15/09/2022;19/09/2022;13;1;1;1;5;1;0;0;2020;50000;1;0;1;0;1;0;Tatiani Cristina Ara
BR-09479/2022;0;1;27/09/2022;29/09/2022;3;1;1;1;3;0;1;1;6800;473780;1;0;1;0;0;1;Renata Nunes Cesar
